record_index,pc1,pc2,dataset_source
6385,-6.0472684,-1.3648171,instagram_data
7002,19.70602,5.141821,instagram_data
6119,-12.587909,1.4689404,instagram_data
34578,-10.189013,-2.1334414,instagram_data2
20499,0.181385,-2.7195263,instagram_data
23157,-13.766164,1.1033424,instagram_data2
15434,4.118612,12.602838,instagram_data
32047,4.8054204,4.509217,instagram_data2
9458,-6.131788,0.89539987,instagram_data
32148,-7.6298885,-4.582395,instagram_data2
12282,-4.9729185,2.8103976,instagram_data
734,15.534186,1.3583091,instagram_data
26271,-5.6273003,5.82786,instagram_data2
32493,0.11136073,9.854643,instagram_data2
18608,-7.6277747,-3.7177448,instagram_data
1544,7.787096,-3.721018,instagram_data
202,18.342827,5.449616,instagram_data
2213,-12.228983,-1.3596282,instagram_data
31576,1.503251,5.1969905,instagram_data2
15454,1.1031805,7.968635,instagram_data
2198,2.5898743,-3.3690276,instagram_data
27305,-4.788243,-0.9865972,instagram_data2
6745,-3.7566135,-2.4152567,instagram_data
6112,2.5058618,-6.95378,instagram_data
12436,0.9584626,18.3301,instagram_data
33363,-6.562971,1.480898,instagram_data2
43,-0.7283366,0.94604385,instagram_data
17290,-5.6668735,-2.63691,instagram_data
20361,4.3037453,4.859408,instagram_data
11106,4.573983,8.7519045,instagram_data
30743,-7.0207524,3.6298654,instagram_data2
1786,9.371763,-1.2188916,instagram_data
10309,-0.12057535,0.47511998,instagram_data
27189,15.496489,-21.192299,instagram_data2
20741,2.9595628,4.3526435,instagram_data2
14746,-12.033515,-2.666683,instagram_data
27361,-6.472161,-5.6680064,instagram_data2
11011,-13.0910225,-3.2035277,instagram_data
20145,1.7310191,7.6447678,instagram_data
17849,13.310324,2.3646042,instagram_data
23575,27.296606,11.691485,instagram_data2
32893,-14.32639,-4.863296,instagram_data2
19266,-5.288029,-5.11378,instagram_data
10802,9.182702,-1.9791381,instagram_data
3243,9.730216,-2.1295917,instagram_data
8178,5.836641,-5.708511,instagram_data
7834,-4.538718,3.043908,instagram_data
12763,5.499602,6.3557243,instagram_data
7139,1.9143069,-9.8119955,instagram_data
29429,0.57304424,-3.3622417,instagram_data2
24956,-4.171411,-5.391312,instagram_data2
5537,-4.3461547,6.8561296,instagram_data
2942,14.673824,13.121365,instagram_data
15571,8.090333,7.207193,instagram_data
1654,8.778279,-8.575525,instagram_data
8916,-14.052525,-2.5937307,instagram_data
28601,14.860595,2.6693952,instagram_data2
8030,-7.5231533,2.9691803,instagram_data
3910,-2.050449,4.153787,instagram_data
31252,-3.7687664,-2.110082,instagram_data2
10844,-9.358531,1.4136002,instagram_data
6276,-10.229029,0.8087712,instagram_data
11871,-0.81275344,0.09381761,instagram_data
21663,-6.015365,-6.509851,instagram_data2
9774,19.541222,19.145365,instagram_data
8908,-7.0511026,-2.2731822,instagram_data
27834,-13.718753,-3.4645133,instagram_data2
23068,-9.924857,-3.8766134,instagram_data2
29090,1.0030057,-9.211348,instagram_data2
26960,-8.172857,-9.4325285,instagram_data2
18793,1.3168721,3.9596367,instagram_data
32432,-12.135514,-1.8096198,instagram_data2
4743,1.6965494,-1.7365375,instagram_data
1291,10.800663,-12.507435,instagram_data
11441,-6.80191,-6.3111486,instagram_data
1469,-2.8504043,-1.8202238,instagram_data
27752,-4.21754,5.2088666,instagram_data2
34139,16.281548,12.913826,instagram_data2
2434,-1.8320909,-9.270234,instagram_data
30047,5.5022774,-10.163466,instagram_data2
27110,-3.258031,1.735999,instagram_data2
18539,7.5377293,-0.27489763,instagram_data
21896,3.8240592,8.493388,instagram_data2
32708,9.37061,8.43653,instagram_data2
26479,-2.7928746,1.751258,instagram_data2
23142,-7.467596,-1.2198128,instagram_data2
26072,2.087576,0.7032208,instagram_data2
15401,-6.165393,-4.1769986,instagram_data
29278,-12.412094,1.1666265,instagram_data2
23109,1.6157384,1.5264997,instagram_data2
24484,13.962645,-14.984761,instagram_data2
23895,-6.661191,6.434647,instagram_data2
710,16.459452,8.654036,instagram_data
34854,-6.218076,6.6073723,instagram_data2
14656,22.001106,-23.891047,instagram_data
32576,-2.884018,4.9543962,instagram_data2
10380,-0.82276475,-6.4396796,instagram_data
29161,-0.45166257,-6.67868,instagram_data2
10329,11.484234,6.4669247,instagram_data
11772,12.119388,-5.3582454,instagram_data
29088,5.5312476,-10.265286,instagram_data2
29616,-4.114069,-0.035479944,instagram_data2
